Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM8028882,"BDC1_S#A1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028882/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028883,"BDC1_S#A1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028883/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028884,"BDC1_S#C1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028884/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028885,"BDC1_S#C1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028885/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028886,"HDT1_S#A1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028886/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028887,"HDT1_S#A1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028887/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028888,"HDT1_S#C1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028888/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028889,"HDT1_S#C1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028889/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028890,"BDC1_S#A1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028890/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028891,"BDC1_S#A1_03:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028891/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028892,"BDC1_S#A1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028892/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028893,"BDC1_S#A1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028893/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028894,"BDC1_S#C1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028894/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028895,"BDC1_S#C1_03:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028895/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028896,"BDC1_S#C1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028896/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028897,"BDC2_S#A1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028897/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028898,"BDC2_S#A1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028898/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028899,"BDC2_S#C1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028899/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028900,"BDC2_S#C1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028900/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028901,"HDT2_S#A1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028901/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028902,"HDT2_S#A1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028902/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028903,"HDT2_S#C1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028903/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028904,"HDT2_S#C1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028904/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028905,"BDC2_S#A1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028905/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028906,"BDC2_S#A1_03:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028906/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028907,"BDC2_S#A1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028907/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028908,"BDC2_S#A1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028908/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028909,"BDC2_S#C1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028909/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028910,"BDC2_S#C1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028910/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028911,"HDT1_S#A1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028911/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028912,"HDT1_S#A1_03:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028912/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028913,"HDT1_S#A1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028913/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028914,"HDT1_S#C1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028914/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028915,"HDT1_S#C1_03:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028915/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028916,"HDT1_S#C1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028916/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028917,"HDT1_S#C1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028917/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028918,"HDT2_S#A1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028918/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028919,"HDT2_S#A1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028919/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028920,"HDT2_S#A1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028920/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028921,"HDT2_S#C1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028921/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028922,"HDT2_S#C1_03:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028922/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028923,"HDT2_S#C1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028923/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028924,"HDT3_S#A1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028924/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028925,"HDT3_S#A1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028925/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028926,"R_S#A1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028926/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028927,"R_S#A1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028927/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028928,"HDT3_S#C1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028928/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028929,"HDT3_S#C1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028929/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028930,"HDT3_S#A1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028930/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028931,"HDT3_S#A1_03:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028931/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028932,"HDT3_S#A1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028932/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028933,"HDT3_S#C1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028933/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028934,"HDT3_S#C1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028934/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028935,"HDT3_S#C1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028935/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028936,"R_S#A1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028936/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028937,"R_S#A1_03:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028937/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028938,"R_S#A1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028938/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028939,"R_S#C1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028939/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028940,"R_S#C1_03:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028940/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028941,"R_S#C1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028941/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028942,"BDC1_S#B1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028942/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028943,"BDC1_S#B1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028943/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028944,"BDC1_S#D1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028944/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028945,"BDC1_S#D1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028945/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028946,"HDT1_S#B1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028946/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028947,"HDT1_S#B1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028947/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028948,"HDT1_S#D1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028948/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028949,"BDC1_S#B1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028949/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028950,"BDC1_S#B1_03:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028950/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028951,"BDC1_S#B1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028951/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028952,"BDC1_S#B1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028952/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028953,"BDC1_S#D1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028953/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028954,"BDC1_S#D1_03:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028954/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028955,"BDC1_S#D1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028955/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028956,"BDC1_S#D1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028956/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028957,"BDC2_S#B1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028957/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028958,"BDC2_S#B1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028958/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028959,"BDC2_S#D1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028959/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028960,"BDC2_S#D1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028960/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028961,"HDT2_S#B1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028961/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028962,"HDT2_S#B1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028962/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028963,"HDT2_S#D1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028963/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028964,"HDT2_S#D1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028964/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028965,"BDC2_S#B1_03:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028965/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028966,"BDC2_S#B1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028966/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028967,"BDC2_S#B1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028967/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028968,"BDC2_S#D1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028968/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028969,"BDC2_S#D1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028969/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028970,"BDC2_S#D1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028970/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028971,"HDT1_S#B1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028971/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028972,"HDT1_S#B1_03:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028972/suppl",,"Simon Archer","Mar 09, 2024"
